Project Version,No. of executions ONLY covered by generated tests,No. of executions covered by generated tests
Math_60,0,1664
Math_61,0,1
Math_62,0,616
Math_63,0,4
Math_64,0,6
Math_65,0,24
Math_67,0,12
Math_68,0,6
Math_69,0,284
Math_70,0,1
Math_71,0,2
Math_72,0,7
Math_73,0,3
Math_74,43,1162
Math_75,0,16
Math_76,0,229
Math_77,0,86
Math_78,0,41
Math_79,0,2
Math_80,5,56
Math_81,0,49
Math_82,848,1718
Math_83,9,140
Math_84,1267,2237
Math_85,7,18
Math_86,36,46
Math_87,32,96
Math_88,258,1133
Math_91,2,8
Math_92,0,2022
Math_95,0,34
Math_96,4,11
Math_98,0,2
Math_99,0,9
Math_100,23,55
Math_101,0,8
Math_102,8,31
Math_103,1,29
Math_104,2,6
